SMILES,Outcome_letters,Outcome
O=C(O)C1CCC(CN)CC1,INATIVO,0
O=C(O)COC(=O)CC=1C=CC=CC1NC=2C(Cl)=CC=CC2Cl,INATIVO,0
O=C(O)COC(=O)CC=1C=2C=C(OC)C=CC2N(C(=O)C3=CC=C(Cl)C=C3)C1C,INATIVO,0
O=C(NC1=CC=C(O)C=C1)C,INATIVO,0
O=C1N=C(N)NC2=C1N=CN2COCCO,INATIVO,0
O=C(O)COC1=CC=C(C(=O)C(=C)CC)C(Cl)=C1Cl,INATIVO,0
O=C(O)COC1=CC=C(C(=O)C(=C)CC)C(Cl)=C1Cl,INATIVO,0
O=C(O)C=1C=CC=CC1NC=2C(Cl)=CC=C(C2Cl)C,ATIVO,1
O=C(O)C=1C=CC=CC1NC2=CC=CC(=C2C)C,ATIVO,1
O=C(O)C1=CC=CN=C1NC2=CC=CC(=C2)C(F)(F)F,INATIVO,0
O=C(O)C=1C=CC=CC1O,INATIVO,0
O=C(O)C(C=1SC(=CC1)C(=O)C=2C=CC=CC2)C,INATIVO,0
O=C(O)C=1C=CC=CC1NC=2C=CC=C(Cl)C2C,ATIVO,1
O=C(O)C=1C=CC=CC1OC(=O)C,INATIVO,0
O=C(O)C=CC=1N=C(C=CC1)C(=CCN2CCCC2)C3=CC=C(C=C3)C,INATIVO,0
O=C(OC)NC1=NC=2C=C(SCCC)C=CC2N1,INATIVO,0
[Na].O=P(O)(O)C(O)(CCCN)P(=O)(O)O.O,INATIVO,0
O=C(O)C(C1=CC=C(C=C1)NCC(=C)C)C,INATIVO,0
O=C1N=CNC=2NN=CC12,INATIVO,0
Cl.O=C(NC(=N)N)C1=NC(Cl)=C(N=C1N)N,INATIVO,0
O=C1C(N)=C(N(N1C=2C=CC=CC2)C)C,INATIVO,0
O=C(C1=CC(I)=C(OCCN(CC)CC)C(I)=C1)C=2C=3C=CC=CC3OC2CCCC,ATIVO,1
O=C(OC)C1=C(NC(=C(C(=O)OCC)C1C=2C=CC=CC2Cl)COCCN)C,INATIVO,0
O=C(O)C1N2C(=O)C(NC(=O)C(N)C3=CC=C(O)C=C3)C2SC1(C)C,INATIVO,0
