ID,SMILES,Screening,Enzyme activity (%),pIC50,pEC50,pCC50,Crystal structure,Tanimoto_brequinar,Tanimoto_teriflunomida,Tanimoto_H3D-003181,Tanimoto_QHM-0001063,Tanimoto_QHM-0000370,Tanimoto_QHM-0000001,Tanimoto_2D
H3D-003181,OC(=O)c1ccccc1NC(=O)CNc1ccccc1C(F)(F)F,VS,,"6,040958608","5,886056648",4,,0.32075471698113206,0.5098039215686274,1.0,0.3448275862068966,0.391304347826087,0.2413793103448276,0.3137254901960784
H3D-001915,OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)C(F)(F)F,VS,,"5,619788758","5,508638306",4,,0.32075471698113206,0.5098039215686274,1.0,0.3448275862068966,0.391304347826087,0.2413793103448276,0.3137254901960784
H3D-003186,OC(=O)c1ccccc1NC(=O)CNc1ccccc1OC(F)(F)F,VS,,"5,585026652","5,619788758","4,000869459",,0.288135593220339,0.48214285714285715,0.8775510204081632,0.3770491803278688,0.34615384615384615,0.2786885245901639,0.2807017543859649
H3D-001919,OC(=O)c1ccccc1NC(=O)COc1ccc(cc1)Br,VS,,"5,13076828",ND,ND,,0.3090909090909091,0.4107142857142857,0.660377358490566,0.3559322033898305,0.3469387755102041,0.32142857142857145,0.3018867924528302
H3D-002843,OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)F,VS,,"5,113509275",ND,ND,,0.35294117647058826,0.46153846153846156,0.9318181818181818,0.3275862068965517,0.4,0.24561403508771928,0.3469387755102041
H3D-001700,OC(=O)c1ccccc1NC(=O)CCc1ccc(cc1)C(F)(F)F,VS,,"5,022276395",ND,ND,,0.3469387755102041,0.5208333333333334,0.782608695652174,0.34545454545454546,0.3953488372093023,0.2830188679245283,0.3404255319148936
H3D-001719,OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)Br,VS,,"4,863279433",ND,ND,,0.3269230769230769,0.4339622641509434,0.8888888888888888,0.3275862068965517,0.4,0.24561403508771928,0.32
H3D-003213,OC(=O)c1ccccc1NC(=O)CNC1CCc2ccccc2C1,VS,,"4,853871964",ND,ND,,0.2857142857142857,0.3620689655172414,0.76,0.3559322033898305,0.375,0.2982456140350877,0.2777777777777778
H3D-003450,OC(=O)c1ccccc1NC(=O)CN1CCOc2ccccc21,VS,,"4,522878745",ND,ND,,0.2923076923076923,0.3188405797101449,0.5625,0.3939393939393939,0.3,0.2463768115942029,0.2857142857142857
H3D-001733,OC(=O)c1ccccc1NC(=O)COc1ccc(nc1)Br,VS,,"4,431798276",ND,ND,,0.375,0.4,0.631578947368421,0.4406779661016949,0.33962264150943394,0.29508196721311475,0.37037037037037035
H3D-003550,OC(=O)C1=C(CCCC1)NC(=O)CNc1ccc(cc1)Br,VS,,"4,229147988",ND,ND,,0.24193548387096775,0.4482758620689655,0.6909090909090909,0.26865671641791045,0.3148148148148148,0.27419354838709675,0.2542372881355932
H3D-003503,OC(=O)c1ccccc1NC(=O)CN1CCN(CC1)c1ccc(cn1)C(F)(F)F,VS,,"4,200659451",ND,ND,,0.3384615384615385,0.38235294117647056,0.6612903225806451,0.39705882352941174,0.2857142857142857,0.18666666666666668,0.3333333333333333
H3D-003502,OC(=O)c1ccccc1NC(=O)CN1CCN(CC1)c1ccc(cn1)Br,VS,,"4,15490196",ND,ND,,0.34375,0.32857142857142857,0.59375,0.38235294117647056,0.2903225806451613,0.1891891891891892,0.3387096774193548
